index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.stern.de/gesellschaft/regional/sachsen/bundesliga--rb-leipzig-vor-pokalhalbfinale---nicht-mehr-draus-machen--33425866.html,https://www.stern.de/gesellschaft/regional/sachsen/bundesliga--rb-leipzig-vor-pokalhalbfinale---nicht-mehr-draus-machen--33425866.html,0,www.stern.de,"Bundesliga: RB Leipzig vor Pokalhalbfinale: ""Nicht mehr draus machen""",Leipzig - RB Leipzigs Trainer Marco Rose möchte die Atmosphäre vor dem Pokal-Halbfinale beim SC Freiburg nicht weiter anheizen. «Man muss nicht weniger,https://image.stern.de/33425868/t/S3/v1/w1440/r1.7778/-/01--urnnewsmldpacom2009010123050199516142v2w800h600l810t76r1949b1255jpeg---1e2688f2830ce6ef.jpg,2023-05-01T10:06:50Z,,"Emotionen ja, aber auch nicht übertreiben: Leipzigs Trainer Marco Rose äußert sich zurückhaltend vor dem Pokal-Halbfinale in Freiburg.
RB Leipzigs Trainer Marco Rose möchte die Atmosphäre vor dem Po… [+1624 chars]",,de,'SC Freiburg'
https://www.kicker.de/streich-ueberrascht-von-reporter-frage-das-ist-ja-cool-949470/video,https://www.kicker.de/streich-ueberrascht-von-reporter-frage-das-ist-ja-cool-949470/video,0,www.kicker.de,"Streich überrascht von Reporter-Frage: ""Das ist ja cool""","Video: Der SC Freiburg steht im DFB-Pokal-Halbfinale, hat aber in keinem der Spiele vor der 87. Minute in Führung gelegen. Trainer Christian Streich wird mit diesem Fakt von einem Reporter überrascht.","https://derivates.kicker.de/image/upload/c_crop,x_0,y_233,w_3600,h_2025/w_1200,q_auto/v1/2023/05/01/f723aa7a-8b31-48e8-af86-0b7c446e4e44.jpeg",2023-05-01T19:59:45Z,,"Werbung und Tracking: Um dir relevante Inhalte und personalisierte Werbung anzubieten, setzen wir Cookies und andere Technologien ein. Damit messen wir, wie und womit du unsere Angebote nutzt. Diese … [+2186 chars]",,de,'SC Freiburg'
https://www.kicker.de/freiburg-ii-verpasst-u-23-rekord-dresdens-top-torjaeger-arslan-trifft-949152/video,https://www.kicker.de/freiburg-ii-verpasst-u-23-rekord-dresdens-top-torjaeger-arslan-trifft-949152/video,0,www.kicker.de,Freiburg II verpasst U-23-Rekord - Dresdens Top-Torjäger Arslan trifft,"Video: Während die Konkurrenz aus Elversberg und Wiesbaden patzte, knöpften sich der SC Freiburg II und Dynamo Dresden gegenseitig die Punkte ab. Das Aufstiegsrennen in der 3. Liga bleibt weiterhin spannend.","https://derivates.kicker.de/image/upload/w_3659,h_2058,c_fill,g_auto:subject/w_1200,q_auto/v1/2023/05/01/a7702e0b-702f-4195-9060-3165a4bc09ec.jpeg",2023-05-01T21:30:00Z,,"Werbung und Tracking: Um dir relevante Inhalte und personalisierte Werbung anzubieten, setzen wir Cookies und andere Technologien ein. Damit messen wir, wie und womit du unsere Angebote nutzt. Diese … [+2186 chars]",,de,'SC Freiburg'
https://www.stern.de/gesellschaft/regional/baden-wuerttemberg/dfb-pokal--streich--freiburg-vor-halbfinale-in--ausnahmesituation--33427270.html,https://www.stern.de/gesellschaft/regional/baden-wuerttemberg/dfb-pokal--streich--freiburg-vor-halbfinale-in--ausnahmesituation--33427270.html,0,www.stern.de,"DFB-Pokal: Streich: Freiburg vor Halbfinale in ""Ausnahmesituation""","Für Trainer Christian Streich befindet sich Fußball-Bundesligist SC Freiburg in einer ""Ausnahmesituation"" - aber im positiven Sinne. ""Wir sind gerade in Bereichen, die nicht zu erwarten sind, und dann fühlt es sich besonders an"", sagte der Coach vor den zwei …",https://image.stern.de/33427272/t/0y/v1/w1440/r1.7778/-/02--urnnewsmldpacom2009010123050299523897v3w800h600l658t280r1938b1153jpeg---40003d5c57b24010.jpg,2023-05-02T04:18:02Z,,"Für Trainer Christian Streich befindet sich Fußball-Bundesligist SC Freiburg in einer ""Ausnahmesituation"" - aber im positiven Sinne. ""Wir sind gerade in Bereichen, die nicht zu erwarten sind, und dan… [+1407 chars]",,de,'SC Freiburg'
https://www.kicker.de/fellhauer-vertragsverlaengerung-nach-comeback-949542/artikel,https://www.kicker.de/fellhauer-vertragsverlaengerung-nach-comeback-949542/artikel,0,www.kicker.de,Fellhauer: Vertragsverlängerung nach Comeback,Kim Fellhauer hat sich nach einer schweren Knieverletzung zurückgekämpft und durfte jetzt ein neues Arbeitspapier beim SC Freiburg unterschreiben.,"https://derivates.kicker.de/image/upload/c_crop,x_29,y_17,w_2941,h_1654/w_1200,q_auto/v1/2023/05/02/de34dfa9-ffe8-4bef-899e-2ab28bea1eae.jpeg",2023-05-02T10:17:19Z,,"Kim Fellhauer hat sich nach einer schweren Knieverletzung zurückgekämpft und durfte jetzt ein neues Arbeitspapier beim SC Freiburg unterschreiben. 
 Wie der SC Freiburg am Dienstag mitteilte, hat Ki… [+1153 chars]",,de,'SC Freiburg'
https://www.faz.net/aktuell/sport/fussball/rb-leipzig-freiburg-spiele-in-dfb-pokal-und-bundesliga-zukunftsweisend-18861012.html,https://www.faz.net/aktuell/sport/fussball/rb-leipzig-freiburg-spiele-in-dfb-pokal-und-bundesliga-zukunftsweisend-18861012.html,0,www.faz.net,Wichtige Spiele in Freiburg: Die Krux am Leipziger Geschäftsmodell,RB Leipzig steht vor zwei entscheidenden Partien gegen den SC Freiburg – im DFB-Pokal und in der Bundesliga. Der Ausgang der Duelle hat auch Einfluss auf den Verbleib der besten Spieler im Kader.,https://media1.faz.net/ppmedia/aktuell/sport/972550622/1.8861033/facebook_teaser/christopher-nkunku-wird-rb.jpg,2023-05-02T12:30:20Z,https://web.archive.org/web/20230502152938/https://www.faz.net/aktuell/sport/fussball/rb-leipzig-freiburg-spiele-in-dfb-pokal-und-bundesliga-zukunftsweisend-18861012.html,"Für die Reise nach Freiburg hat Christopher Nkunku mindestens einen roten Luftballon eingepackt. Vielleicht auch zwei oder drei, sicher ist sicher. Wer weiß schon, wie viele Tore der Franzose schießt… [+3079 chars]",,de,'SC Freiburg'
https://www.welt.de/sport/article245116500/DFB-Pokal-Verfolgen-Sie-das-Halbfinale-zwischen-dem-SC-Freiburg-und-RB-Leipzig-im-Liveticker.html,https://www.welt.de/sport/article245116500/DFB-Pokal-Verfolgen-Sie-das-Halbfinale-zwischen-dem-SC-Freiburg-und-RB-Leipzig-im-Liveticker.html,0,www.welt.de,Verfolgen Sie das Pokalhalbfinale zwischen Freiburg und Leipzig im Liveticker,In einer Neuauflage des vergangenen Pokalendspiels trifft der SC Freiburg auf RB Leipzig. Haben die Breisgauer diesmal das bessere Ende für sich? Verfolgen Sie das erste Halbfinale des DFB-Pokals 2023 im Liveticker.,https://img.welt.de/img/sport/mobile245117268/1371359697-ci16x9-w1200/Christian-Streich-und-Marco-Rose.jpg,2023-05-02T18:19:32Z,https://web.archive.org/web/20230502191425/https://www.welt.de/sport/article245116500/DFB-Pokal-Verfolgen-Sie-das-Halbfinale-zwischen-dem-SC-Freiburg-und-RB-Leipzig-im-Liveticker.html,"Für Trainer Christian Streich befindet sich Fußball-Bundesligist SC Freiburg in einer Ausnahmesituation aber im positiven Sinne. Wir sind gerade in Bereichen, die nicht zu erwarten sind, und dann füh… [+624 chars]",,de,'SC Freiburg'
https://www.zeit.de/sport/2023-05/rb-leipzig-zieht-ins-dfb-pokalfinale-ein,https://www.zeit.de/sport/2023-05/rb-leipzig-zieht-ins-dfb-pokalfinale-ein,0,www.zeit.de,DFB-Pokal: RB Leipzig zieht ins DFB-Pokalfinale ein,Der RB Leipzig behauptet sich im Halbfinale des DFB-Pokals klar gegen den SC Freiburg. Dominik Szoboszlai trifft doppelt.,,2023-05-02T20:57:29Z,,"When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content. Some of the information stored on your device, … [+732 chars]",,de,'SC Freiburg'
https://www.stern.de/gesellschaft/regional/baden-wuerttemberg/dfb-pokal--tv-quote-geringer-als-im-viertelfinale-33431790.html,https://www.stern.de/gesellschaft/regional/baden-wuerttemberg/dfb-pokal--tv-quote-geringer-als-im-viertelfinale-33431790.html,0,www.stern.de,DFB-Pokal: TV-Quote geringer als im Viertelfinale,"Die Einschaltquote des ersten Halbfinales im DFB-Pokal war deutlich geringer als bei den Viertelfinal-Übertragungen im April. Den 5:1-Sieg von Fußball-Bundesligist RB Leipzig gegen den SC Freiburg sahen am Dienstagabend durchschnittlich 4,791 Millionen Mensch…",https://image.stern.de/33431792/t/Ap/v1/w1440/r1.7778/-/03--urnnewsmldpacom2009010123050399539616v3w800h600l473t225r1753b1057jpeg---843f53e0ed18d3ff.jpg,2023-05-03T08:13:49Z,,Die Einschaltquote des ersten Halbfinales im DFB-Pokal war deutlich geringer als bei den Viertelfinal-Übertragungen im April. Den 5:1-Sieg von Fußball-Bundesligist RB Leipzig gegen den SC Freiburg sa… [+770 chars],,de,'SC Freiburg'
https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMingFodHRwczovL3d3dy5sdnouZGUvc3BvcnQvcmVnaW9uYWwvcmItbGVpcHppZ3Mtc3BpZWxlci1iZXdvcmZlbi1mYW5zLWltLWlubmVucmF1bS1qYWJsb25za2ktZXJrbGFlcnQtd2FydW0td2VpdGVyZ2VzcGllbHQtd3VyZGUtV1pQWUpLSU5HWkJXRkdSVkNSNzRaNkNZM1kuaHRtbNIBswFodHRwczovL3d3dy5sdnouZGUvc3BvcnQvcmVnaW9uYWwvcmItbGVpcHppZ3Mtc3BpZWxlci1iZXdvcmZlbi1mYW5zLWltLWlubmVucmF1bS1qYWJsb25za2ktZXJrbGFlcnQtd2FydW0td2VpdGVyZ2VzcGllbHQtd3VyZGUtV1pQWUpLSU5HWkJXRkdSVkNSNzRaNkNZM1kuaHRtbD9vdXRwdXRUeXBlPXZhbGlkX2FtcA?oc%3D5&gl=FR&hl=en-US&cm=2&pc=n&src=1,https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMingFodHRwczovL3d3dy5sdnouZGUvc3BvcnQvcmVnaW9uYWwvcmItbGVpcHppZ3Mtc3BpZWxlci1iZXdvcmZlbi1mYW5zLWltLWlubmVucmF1bS1qYWJsb25za2ktZXJrbGFlcnQtd2FydW0td2VpdGVyZ2VzcGllbHQtd3VyZGUtV1pQWUpLSU5HWkJXRkdSVkNSNzRaNkNZM1kuaHRtbNIBswFodHRwczovL3d3dy5sdnouZGUvc3BvcnQvcmVnaW9uYWwvcmItbGVpcHppZ3Mtc3BpZWxlci1iZXdvcmZlbi1mYW5zLWltLWlubmVucmF1bS1qYWJsb25za2ktZXJrbGFlcnQtd2FydW0td2VpdGVyZ2VzcGllbHQtd3VyZGUtV1pQWUpLSU5HWkJXRkdSVkNSNzRaNkNZM1kuaHRtbD9vdXRwdXRUeXBlPXZhbGlkX2FtcA?oc%3D5&gl=FR&hl=en-US&cm=2&pc=n&src=1,0,consent.google.com,"RB Leipzigs Spieler beworfen, Fans im Innenraum: Jablonski erklärt, warum weitergespielt wurde - Leipziger Volkszeitung","<ol><li>RB Leipzigs Spieler beworfen, Fans im Innenraum: Jablonski erklärt, warum weitergespielt wurde  Leipziger Volkszeitung
</li><li>DFB-Pokal – Freiburg vs. Leipzig 1:5: Jogi sieht Freiburg-Schande | Sport  BILD
</li><li>Fan-Skandal im DFB-Pokal: SC Fre…",,2023-05-03T12:54:56Z,,"We use cookies and data to<ul><li>Deliver and maintain Google services</li><li>Track outages and protect against spam, fraud, and abuse</li><li>Measure audience engagement and site statistics to unde… [+1131 chars]",,de,'SC Freiburg'
https://www.kicker.de/grifo-schweigt-lieber-es-ist-besser-wenn-sie-das-den-trainer-fragen-949703/artikel,https://www.kicker.de/grifo-schweigt-lieber-es-ist-besser-wenn-sie-das-den-trainer-fragen-949703/artikel,0,www.kicker.de,"Grifo schweigt lieber: ""Es ist besser, wenn sie das den Trainer fragen""",Die Stimmung von Vincenzo Grifo war am Dienstagabend auf einem Tiefpunkt. Das lag nicht nur am Pokal-Aus des SC Freiburg im Halbfinale.,"https://derivates.kicker.de/image/upload/c_crop,x_1146,y_565,w_1834,h_1032/w_1200,q_auto/v1/2023/05/03/dcd474c8-064f-453c-82d8-e0878a9baf83.jpeg",2023-05-03T13:49:22Z,https://web.archive.org/web/20230504101552/https://www.kicker.de/grifo-schweigt-lieber-es-ist-besser-wenn-sie-das-den-trainer-fragen-949703/artikel,"Die Stimmung von Vincenzo Grifo war am Dienstagabend auf einem Tiefpunkt. Das lag nicht nur am Pokal-Aus des SC Freiburg im Halbfinale. 
 Es war lange ein ungeschriebenes Gesetz: Ist Grifo fit, spie… [+3408 chars]",,de,'SC Freiburg'
https://www.kicker.de/es-ist-immer-ein-drama-eberl-betruebt-ueber-gvardiols-rote-karte-949735/artikel,https://www.kicker.de/es-ist-immer-ein-drama-eberl-betruebt-ueber-gvardiols-rote-karte-949735/artikel,0,www.kicker.de,"""Es ist immer ein Drama"": Eberl betrübt über Gvardiols Rote Karte",Der 5:1-Erfolg im Halbfinale des DFB-Pokals beim SC Freiburg hatte für Titelverteidiger RB Leipzig am Ende noch einen kleinen Wermutstropfen. Denn ein Akteur darf im Finale nicht mitwirken.,"https://derivates.kicker.de/image/upload/c_crop,x_0,y_192,w_4000,h_2250/w_1200,q_auto/v1/2023/05/03/17dd37e3-97bc-4406-8220-3df5b234fbbf.jpeg",2023-05-03T16:41:00Z,https://web.archive.org/web/20230505170357/https://www.kicker.de/es-ist-immer-ein-drama-eberl-betruebt-ueber-gvardiols-rote-karte-949735/artikel,"Der 5:1-Erfolg im Halbfinale des DFB-Pokals beim SC Freiburg hatte für Titelverteidiger RB Leipzig am Ende noch einen kleinen Wermutstropfen. Denn ein Akteur darf im Finale nicht mitwirken. 
 Am End… [+3522 chars]",,de,'SC Freiburg'
https://www.kicker.de/sc-kapitaenin-kayikci-ich-habe-elf-jahre-darauf-hingearbeitet-949749/artikel,https://www.kicker.de/sc-kapitaenin-kayikci-ich-habe-elf-jahre-darauf-hingearbeitet-949749/artikel,0,www.kicker.de,"SC-Kapitänin Kayikci: ""Ich habe elf Jahre darauf hingearbeitet""",Seit acht Jahren ist der DFB-Pokal der Frauen fest in den Händen des VfL Wolfsburg. Stoppt der SC Freiburg bei der 14. Auflage in Köln den Siegeszug der Wölfinnen? Für SC-Kapitänin Hasret Kayikci soll eine lange Wartezeit enden.,"https://derivates.kicker.de/image/upload/c_crop,x_1206,y_661,w_1793,h_1008/w_1200,q_auto/v1/2023/05/03/ea66bedb-cc4d-4ad7-a311-50ca4ad13012.jpeg",2023-05-03T18:05:00Z,,Seit acht Jahren ist der DFB-Pokal der Frauen fest in den Händen des VfL Wolfsburg. Stoppt der SC Freiburg bei der 14. Auflage in Köln den Siegeszug der Wölfinnen? Für SC-Kapitänin Hasret Kayikci sol… [+1579 chars],,de,'SC Freiburg'
