,phrase,label,sentiment,subjectivity,language,count
WM,WM,MISC,,,de,2
Transfermarkt-Managerspiel,Transfermarkt-Managerspiel,MISC,,,de,2
Marathon-Männer,Marathon-Männer,MISC,,,de,2
…,…,MISC,,,de,2
Am Sonntag,Am Sonntag,MISC,,,de,2
Europa League,Europa League,MISC,,,de,2
Freiburger,Freiburger,MISC,,,de,2
Vorrunde.,Vorrunde.,MISC,,,de,2
Drittliga-Aufsteigers,Drittliga-Aufsteigers,MISC,,,de,2
Pokalfinals.,Pokalfinals.,MISC,,,de,2
Fußball-WM,Fußball-WM,MISC,,,de,2
italienische,italienische,MISC,,,de,2
WM dabei?,WM dabei?,MISC,,,de,2
VAR.,VAR.,MISC,,,de,2
WM?,WM?,MISC,,,de,1
Weihnachten:,Weihnachten:,MISC,,,de,1
Pr…,Pr…,MISC,,,de,1
SC-Sportdirektor,SC-Sportdirektor,MISC,,,de,1
Unter treuesten Bundesliga-Profis.,Unter treuesten Bundesliga-Profis.,MISC,,,de,1
"nan When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.","nan When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.",MISC,,,de,1
De…,De…,MISC,,,de,1
Freiburg.,Freiburg.,MISC,,,de,1
Au…,Au…,MISC,,,de,1
Die Ligapartie,Die Ligapartie,MISC,,,de,1
die Ligapartie,die Ligapartie,MISC,,,de,1
Gute Erträge und tolle Qualitäten,Gute Erträge und tolle Qualitäten,MISC,,,de,1
Freiburg II,Freiburg II,MISC,,,de,1
Streich,Streich,MISC,,,de,1
Schwalben-Vorwurf,Schwalben-Vorwurf,MISC,,,de,1
"Streich über Jeong: ""Einfach mal","Streich über Jeong: ""Einfach mal",MISC,,,de,1
Europa League: Später Gegentreffer:,Europa League: Später Gegentreffer:,MISC,,,de,1
Europa League:,Europa League:,MISC,,,de,1
iranischer,iranischer,MISC,,,de,1
Europa League: Freiburg,Europa League: Freiburg,MISC,,,de,1
"Some of the information stored on your device,","Some of the information stored on your device,",MISC,,,de,1
