,phrase,label,sentiment,subjectivity,language,count
SC Freiburg,SC Freiburg,ORG,0.06743178621659628,0.03962728551336147,de,2370
Bundesliga,Bundesliga,ORG,0.0434659090909091,0.010227272727272725,de,352
Freiburg,Freiburg,ORG,0.026625295508274225,0.020685579196217493,de,282
Union Berlin,Union Berlin,ORG,0.042615176151761504,0.01138211382113821,de,123
FC Bayern,FC Bayern,ORG,0.02319444444444445,0.025,de,120
Fußball-Bundesliga,Fußball-Bundesliga,ORG,0.06941747572815535,0.024271844660194174,de,103
SC Freiburg II,SC Freiburg II,ORG,0.08382352941176473,0.0,de,102
Juventus Turin,Juventus Turin,ORG,0.030303030303030304,0.09730639730639731,de,99
RB Leipzig,RB Leipzig,ORG,0.04722222222222222,0.05942760942760944,de,99
Partei,Partei,ORG,-0.06403614457831325,0.018072289156626505,de,83
VfL Wolfsburg,VfL Wolfsburg,ORG,0.022727272727272724,0.025974025974025976,de,77
VfB Stuttgart,VfB Stuttgart,ORG,0.10796019900497512,0.014925373134328358,de,67
SC,SC,ORG,0.10512820512820514,0.015384615384615385,de,65
Bayer Leverkusen,Bayer Leverkusen,ORG,0.16174863387978142,0.018579234972677595,de,61
Eintracht Frankfurt,Eintracht Frankfurt,ORG,0.10086206896551723,0.0,de,58
Borussia Dortmund,Borussia Dortmund,ORG,0.09266666666666667,0.08666666666666666,de,50
Sport-Club,Sport-Club,ORG,-0.014583333333333328,0.05833333333333333,de,48
BVB,BVB,ORG,0.0425531914893617,0.0978723404255319,de,47
FC Bayern München,FC Bayern München,ORG,0.05795454545454546,0.0303030303030303,,44
VfL Bochum,VfL Bochum,ORG,0.05454545454545456,0.0,de,44
Werder Bremen,Werder Bremen,ORG,0.0941860465116279,0.011627906976744186,de,43
BILD,BILD,ORG,-0.007142857142857138,0.023809523809523808,de,42
Olympiakos Piräus,Olympiakos Piräus,ORG,0.12,0.0,de,40
FC Augsburg,FC Augsburg,ORG,-0.008333333333333328,0.0,de,36
FC Brentford,FC Brentford,ORG,-0.44583333333333336,0.0,de,36
FC Union Berlin,FC Union Berlin,ORG,0.28285714285714286,0.0,de,35
Leverkusen,Leverkusen,ORG,0.01323529411764706,0.0,de,34
Fußball-Bundesligist,Fußball-Bundesligist,ORG,0.08181818181818182,0.030303030303030304,de,33
Hoffenheim,Hoffenheim,ORG,0.22424242424242424,0.0,de,33
Bundesligisten,Bundesligisten,ORG,-0.054838709677419356,0.03225806451612903,de,31
Schalke,Schalke,ORG,0.1522222222222222,0.04444444444444444,de,30
FC Köln,FC Köln,ORG,0.07241379310344827,0.0,de,29
TSG Hoffenheim,TSG Hoffenheim,ORG,0.044444444444444446,0.037037037037037035,de,27
Leipzig,Leipzig,ORG,-0.07407407407407407,0.0,de,27
AfD,AfD,ORG,0.10869565217391304,0.021739130434782608,de,23
Zweitligisten,Zweitligisten,ORG,-0.043478260869565216,0.0,de,23
SC Paderborn,SC Paderborn,ORG,0.0,0.0,de,22
Hertha BSC,Hertha BSC,ORG,0.08333333333333333,0.0,de,22
Wolfsburg,Wolfsburg,ORG,0.09393939393939393,0.09090909090909091,de,22
Bundesligist,Bundesligist,ORG,-0.008333333333333333,0.0606060606060606,de,22
SC-Trainer,SC-Trainer,ORG,0.23500000000000001,0.05,de,20
