,phrase,label,sentiment,subjectivity,language,count
Christian Streich,Christian Streich,PER,-0.14242424242424243,0.09090909090909091,de,33
Jiang Zemin,Jiang Zemin,PER,-0.5833333333333334,0.0,de,12
Keven Schlotterbeck,Keven Schlotterbeck,PER,-0.12727272727272726,0.0,de,11
Vincenzo Grifo,Vincenzo Grifo,PER,0.24545454545454548,0.18181818181818182,de,11
Nicolas Höfler,Nicolas Höfler,PER,0.0,0.0,de,7
Michael Stübgen,Michael Stübgen,PER,0.2833333333333333,0.16666666666666666,de,6
Axel Hellmann,Axel Hellmann,PER,0.11666666666666665,0.0,de,6
Sahra Wagenknecht,Sahra Wagenknecht,PER,0.06000000000000001,0.2,de,5
Christian Günter,Christian Günter,PER,0.27999999999999997,0.0,de,5
Thomas Reis,Thomas Reis,PER,0.1933333333333333,0.16666666666666666,de,5
Eva Kaili,Eva Kaili,PER,-0.27999999999999997,0.0,de,5
Nancy Faeser,Nancy Faeser,PER,0.5249999999999999,0.0,de,4
Oliver Leki,Oliver Leki,PER,0.0,0.0,de,4
Theresa Merk,Theresa Merk,PER,0.0,0.0,de,4
Friedrich Merz,Friedrich Merz,PER,0.375,0.0,de,4
Lukas Klostermann,Lukas Klostermann,PER,0.5,0.0,de,4
Jair Bolsonaro,Jair Bolsonaro,PER,-0.2875,0.0,de,4
Donald Trump,Donald Trump,PER,0.0,0.0,de,4
Hugo Siquet,Hugo Siquet,PER,0.0,1.0,de,3
Bodo Ramelow,Bodo Ramelow,PER,0.0,0.0,de,3
Joana Cotar,Joana Cotar,PER,0.0,0.0,de,3
Josko Gvardiol,Josko Gvardiol,PER,0.0,0.0,de,3
Roland Sallai,Roland Sallai,PER,0.10000000000000002,0.3333333333333333,de,3
Rainer Nowak,Rainer Nowak,PER,-0.05000000000000001,0.0,de,3
Mitch McConnell,Mitch McConnell,PER,0.5166666666666666,0.0,de,3
Donald Trumps,Donald Trumps,PER,0.2333333333333333,0.0,de,3
Nick Fuentes,Nick Fuentes,PER,0.0,0.0,de,3
Michael Hornsby,Michael Hornsby,PER,0.0,0.0,de,3
Mette Frederiksen,Mette Frederiksen,PER,-0.3333333333333333,0.0,de,3
Xi Jinping,Xi Jinping,PER,0.0,0.0,de,2
Luka Parkadze,Luka Parkadze,PER,0.0,0.0,de,2
Albert Rösti,Albert Rösti,PER,0.0,0.0,de,2
Vincenzo Grifo ,Vincenzo Grifo ,PER,0.0,0.0,de,2
Christina Morina,Christina Morina,PER,0.0,0.0,de,2
Thomas Aeschi,Thomas Aeschi,PER,0.0,0.5,de,2
Andreas Kalbitz,Andreas Kalbitz,PER,0.5,0.0,de,2
Levan Kobiashvili,Levan Kobiashvili,PER,0.0,0.0,de,2
Nancy Pelosi,Nancy Pelosi,PER,0.0,0.0,de,2
Willy Brandts,Willy Brandts,PER,0.0,0.0,de,2
Martin Sonneborn,Martin Sonneborn,PER,0.0,0.0,de,2
Diether Dehm,Diether Dehm,PER,0.0,0.0,de,2
Peter Vindahl Jensen,Peter Vindahl Jensen,PER,0.0,0.0,de,2
Benjamin Goller,Benjamin Goller,PER,0.0,0.0,de,2
Raphael Warnock,Raphael Warnock,PER,0.35,0.5,de,2
Jochen Saier,Jochen Saier,PER,0.0,0.0,de,2
Matthias Ginters,Matthias Ginters,PER,-1.0,0.0,de,2
Reed Baker-Whiting vom ,Reed Baker-Whiting vom ,PER,0.0,0.0,de,2
Donata Hopfen,Donata Hopfen,PER,0.0,0.0,de,2
Gefrustete Progressive,Gefrustete Progressive,PER,0.0,0.0,de,2
Daniel-Kofi Kyereh,Daniel-Kofi Kyereh,PER,0.0,0.0,de,2
CDU-Vize Linnemann,CDU-Vize Linnemann,PER,1.0,0.0,de,2
Michael Kretschmer,Michael Kretschmer,PER,-0.5,0.0,de,2
Lukas Kübler,Lukas Kübler,PER,0.0,0.0,de,2
Thomas Ouwejan,Thomas Ouwejan,PER,0.0,0.0,de,2
Joe Biden,Joe Biden,PER,-0.5,0.0,de,2
Olaf Scholz,Olaf Scholz,PER,0.0,0.0,de,2
Elon Musk,Elon Musk,PER,0.0,0.0,de,2
Woo-Yeong Jeong,Woo-Yeong Jeong,PER,0.0,0.0,de,2
Ritsu Doan,Ritsu Doan,PER,0.0,0.0,de,2
Hiroki Ito,Hiroki Ito,PER,0.0,0.0,de,2
Wataru Endo,Wataru Endo,PER,0.0,0.0,de,2
Martin Horn,Martin Horn,PER,-1.0,0.0,de,2
Sabine Leutheusser-Schnarrenberger,Sabine Leutheusser-Schnarrenberger,PER,0.0,0.0,de,2
Christopher Nkunku,Christopher Nkunku,PER,0.0,0.0,de,2
Matthias Ginter,Matthias Ginter,PER,0.0,0.0,de,2
Hansi Flick,Hansi Flick,PER,0.0,0.0,de,2
Angus King,Angus King,PER,0.7,0.0,de,1
Eduard Heger,Eduard Heger,PER,0.0,0.0,de,1
Rodion Ebbighausen,Rodion Ebbighausen,PER,0.0,0.0,de,1
Mohammed Schtajjeh,Mohammed Schtajjeh,PER,0.0,0.0,de,1
Macrons Partei,Macrons Partei,PER,0.0,0.0,de,1
Hans-Joachim Watzke,Hans-Joachim Watzke,PER,0.0,0.0,de,1
Palästinenser-Ministerpräsident Mohammed Schtajjeh,Palästinenser-Ministerpräsident Mohammed Schtajjeh,PER,0.0,0.0,de,1
Jair Lapid,Jair Lapid,PER,0.0,0.0,de,1
Bharatiya Janata Partei,Bharatiya Janata Partei,PER,0.7,0.0,de,1
Benjamin Netanjahu,Benjamin Netanjahu,PER,0.0,0.0,de,1
Benjamin Netanyahu,Benjamin Netanyahu,PER,0.0,0.0,de,1
Frederiksen Ministerpräsidentin,Frederiksen Ministerpräsidentin,PER,0.0,0.0,de,1
Bernie Sanders,Bernie Sanders,PER,0.7,0.0,de,1
Karin Renner,Karin Renner,PER,0.7,0.0,de,1
Sarah Frühauf,Sarah Frühauf,PER,0.0,0.0,de,1
Jeffrey Donaldson,Jeffrey Donaldson,PER,0.0,0.0,de,1
Linke Bundesspitze,Linke Bundesspitze,PER,-0.7,0.0,de,1
Partei-Rebellin Sinema,Partei-Rebellin Sinema,PER,0.0,0.0,de,1
Marine Tondelier,Marine Tondelier,PER,0.0,0.0,de,1
Kyrsten Sinema,Kyrsten Sinema,PER,0.0,0.0,de,1
Klaus Schneeberger,Klaus Schneeberger,PER,0.7,0.0,de,1
Qarabag Agadam,Qarabag Agadam,PER,0.0,0.0,de,1
Björn Höcke,Björn Höcke,PER,0.7,0.0,de,1
CDU-Chef Friedrich Merz,CDU-Chef Friedrich Merz,PER,0.0,0.0,de,1
Alexander Schwolow,Alexander Schwolow,PER,0.0,0.0,de,1
Cyril Ramaphosa,Cyril Ramaphosa,PER,0.0,0.0,de,1
Christian Putsch,Christian Putsch,PER,0.0,0.0,de,1
Johannes Vogel,Johannes Vogel,PER,0.0,0.0,de,1
Tobias Oelmaier,Tobias Oelmaier,PER,-1.0,0.0,de,1
Keir Starmer,Keir Starmer,PER,0.0,0.0,de,1
Sven Michel,Sven Michel,PER,1.0,0.0,de,1
