,Bundesliga,Deutschland,Freiburg,Luxemburg,Qatar
2022-10-25,0,0,0,4,0
2022-10-27,2,0,0,0,0
2022-10-28,1,0,0,0,0
2022-10-29,1,0,1,0,0
2022-10-30,4,0,0,0,0
2022-11-01,1,0,0,0,0
2022-11-02,4,0,0,0,0
2022-11-03,5,0,0,0,0
2022-11-04,3,0,0,0,0
2022-11-05,2,0,0,0,0
2022-11-06,7,0,0,0,0
2022-11-07,1,0,0,0,0
2022-11-08,3,0,0,0,0
2022-11-09,4,0,0,0,0
2022-11-10,6,0,0,0,0
2022-11-11,1,0,0,0,0
2022-11-12,2,0,0,0,0
2022-11-13,12,0,0,0,0
2022-11-14,5,0,0,0,0
2022-11-15,1,0,0,0,0
2022-11-16,1,0,0,0,0
2022-11-17,3,0,0,0,0
2022-11-18,0,0,0,0,0
2022-11-20,0,0,0,0,0
2022-11-21,0,0,0,0,0
2022-11-22,0,0,0,0,0
2022-11-23,0,1,0,0,0
2022-11-24,5,0,0,0,0
2022-11-25,1,0,0,0,0
2022-11-26,2,0,0,0,0
2022-11-27,1,0,0,0,0
2022-11-28,1,0,0,0,0
2022-11-29,0,0,0,1,0
2022-11-30,0,0,0,0,0
2022-12-02,0,0,0,0,0
2022-12-03,0,0,0,0,0
2022-12-04,0,0,0,0,0
2022-12-05,2,0,0,0,0
2022-12-06,4,0,0,0,0
2022-12-07,0,0,0,0,0
2022-12-08,5,0,0,0,0
2022-12-09,3,0,0,0,0
2022-12-10,2,0,0,0,0
2022-12-11,1,0,0,0,0
2022-12-12,1,1,0,0,0
2022-12-13,0,0,0,0,0
2022-12-14,1,0,0,0,0
2022-12-15,0,0,0,0,0
2022-12-16,2,0,0,0,0
2022-12-19,1,0,0,0,0
2022-12-21,3,0,0,0,0
2022-12-22,3,0,0,0,0
2022-12-23,1,0,0,0,0
2022-12-24,3,0,0,0,0
2022-12-25,0,0,0,0,0
2022-12-28,3,0,0,0,0
2022-12-30,1,0,0,0,0
2023-01-01,3,0,0,0,0
2023-01-02,6,0,0,0,0
2023-01-03,4,0,0,0,0
2023-01-04,7,0,0,0,0
2023-01-05,6,0,0,0,0
2023-01-06,1,0,0,0,0
2023-01-07,1,0,0,0,0
2023-01-08,0,0,0,0,0
2023-01-09,0,0,0,0,0
2023-01-10,3,0,0,0,0
2023-01-11,1,0,0,0,0
2023-01-12,7,0,0,1,0
2023-01-13,6,0,0,0,0
2023-01-14,3,0,0,0,0
2023-01-15,2,0,0,0,0
2023-01-16,5,0,0,0,0
2023-01-17,1,0,0,0,0
2023-01-19,5,0,0,0,0
2023-01-20,3,0,0,0,0
2023-01-21,7,0,0,0,0
2023-01-23,3,0,0,0,0
2023-01-25,9,0,0,0,0
2023-01-26,1,1,0,0,0
2023-01-27,3,0,0,0,0
2023-01-28,7,0,0,0,0
2023-01-29,3,1,0,0,0
2023-01-30,2,1,0,0,0
2023-01-31,1,0,0,0,0
2023-02-01,4,0,0,0,0
2023-02-02,0,0,0,0,0
2023-02-04,3,0,0,0,0
2023-02-05,4,0,0,0,0
2023-02-06,6,0,0,0,0
2023-02-07,11,0,0,0,0
2023-02-08,4,0,0,0,0
2023-02-09,1,0,0,0,0
2023-02-10,4,0,0,0,0
2023-02-11,5,0,0,0,0
2023-02-12,7,0,0,0,0
2023-02-13,2,0,0,0,0
2023-02-14,2,0,0,0,0
2023-02-15,3,0,0,0,0
2023-02-16,6,0,0,0,0
2023-02-17,2,0,0,0,0
2023-02-18,9,0,0,0,0
2023-02-19,6,0,0,0,0
2023-02-20,2,0,0,0,0
2023-02-22,1,0,0,0,0
2023-02-23,1,0,0,0,0
2023-02-24,14,0,0,0,0
2023-02-25,1,0,0,0,0
2023-02-26,17,0,0,0,0
2023-02-27,1,0,0,0,0
2023-02-28,7,0,0,0,0
2023-03-02,4,0,0,0,0
2023-03-03,4,0,0,0,0
2023-03-04,2,0,0,0,0
2023-03-05,2,0,0,0,0
2023-03-06,6,0,0,0,0
2023-03-07,2,1,0,0,0
2023-03-08,4,0,0,0,0
2023-03-09,9,0,0,0,0
2023-03-10,1,0,0,0,0
2023-03-11,2,0,0,0,0
2023-03-12,12,0,0,0,0
2023-03-13,7,0,0,0,0
2023-03-14,8,0,0,0,0
2023-03-15,6,0,0,0,0
2023-03-16,22,0,0,0,0
2023-03-17,11,0,0,0,0
2023-03-18,2,0,0,0,0
2023-03-19,4,0,0,0,0
2023-03-20,4,0,0,0,0
2023-03-21,1,0,0,0,0
2023-03-22,4,0,0,0,0
2023-03-23,1,0,0,0,0
2023-03-27,5,0,0,0,0
2023-03-28,3,0,0,0,0
2023-03-29,5,0,0,0,0
2023-03-30,8,0,1,0,0
2023-03-31,5,0,0,0,0
2023-04-01,5,0,0,0,0
2023-04-02,1,0,0,0,0
2023-04-03,12,0,0,0,0
2023-04-04,18,0,0,0,0
2023-04-05,25,0,0,0,0
2023-04-06,4,0,0,0,0
2023-04-07,1,0,0,0,0
2023-04-08,11,0,0,0,0
2023-04-09,3,0,0,1,0
2023-04-10,1,0,0,0,0
2023-04-11,2,0,0,0,0
2023-04-12,3,0,0,0,0
2023-04-13,0,1,0,0,0
2023-04-14,2,0,0,0,0
2023-04-15,4,0,0,0,0
2023-04-16,9,0,0,0,0
2023-04-17,3,0,0,0,0
2023-04-18,1,0,0,0,0
2023-04-20,0,0,0,0,0
2023-04-21,3,0,0,0,0
2023-04-22,3,0,0,0,0
2023-04-23,9,0,0,0,0
2023-04-24,2,0,0,0,0
2023-04-25,2,0,0,0,0
2023-04-26,3,0,0,0,0
2023-04-27,4,0,0,0,0
2023-04-29,7,0,0,0,0
2023-04-30,3,0,0,0,0
2023-05-01,3,0,0,0,0
2023-05-02,6,0,0,0,0
2023-05-03,11,0,0,0,0
2023-05-04,4,0,0,0,0
2023-05-05,8,0,0,0,0
2023-05-06,7,0,0,0,0
2023-05-07,6,0,0,0,0
2023-05-08,2,0,0,0,0
2023-05-09,3,0,0,0,0
2023-05-10,3,0,0,0,0
2023-05-11,2,0,0,0,0
2023-05-12,6,1,0,0,0
2023-05-13,21,0,0,0,0
2023-05-14,8,0,0,0,0
2023-05-15,1,0,0,0,0
2023-05-16,3,0,0,0,0
2023-05-17,4,0,0,0,0
2023-05-18,5,0,0,0,0
2023-05-19,12,0,0,0,0
2023-05-20,6,0,0,0,0
2023-05-22,2,0,0,1,0
2023-05-23,1,0,0,0,0
2023-05-25,2,0,0,0,0
2023-05-26,7,0,0,0,0
2023-05-27,11,0,0,0,0
2023-05-28,4,0,0,0,0
2023-05-29,1,0,0,0,0
2023-05-30,5,0,0,0,0
2023-05-31,4,0,0,0,0
2023-06-01,4,0,0,0,0
2023-06-02,2,0,0,0,0
2023-06-03,2,0,0,0,0
2023-06-04,1,0,0,0,0
2023-06-06,3,0,0,0,0
2023-06-07,1,0,0,2,0
2023-06-08,1,0,0,0,0
2023-06-09,1,0,0,0,0
2023-06-11,1,0,0,0,0
2023-06-12,4,0,0,0,0
2023-06-13,4,0,0,0,0
2023-06-15,2,0,0,0,0
2023-06-16,9,0,0,0,0
2023-06-18,2,0,0,0,0
2023-06-20,5,0,0,0,0
2023-06-22,6,1,1,0,0
2023-06-23,2,0,0,1,0
2023-06-24,1,0,0,0,0
2023-06-25,1,0,0,0,0
2023-06-26,4,0,0,1,0
2023-06-28,5,0,0,1,0
2023-06-29,1,0,0,0,0
2023-06-30,5,0,0,0,0
2023-07-02,1,0,0,0,0
2023-07-03,1,0,0,0,0
2023-07-04,3,0,0,0,0
2023-07-05,2,0,0,0,0
2023-07-06,0,0,0,0,0
2023-07-07,3,0,0,0,0
2023-07-10,5,0,0,0,0
2023-07-11,6,0,0,0,0
2023-07-12,1,0,0,0,0
2023-07-13,4,0,0,0,0
2023-07-14,8,0,0,0,0
2023-07-15,4,0,0,1,0
2023-07-16,2,0,0,0,0
2023-07-17,2,0,0,0,0
2023-07-18,2,0,0,0,0
2023-07-20,1,0,0,0,0
2023-07-21,4,0,0,0,0
2023-07-22,4,0,0,0,0
2023-07-23,2,0,0,0,0
2023-07-24,3,0,0,0,0
2023-07-25,3,0,0,0,0
2023-07-26,4,0,0,0,0
2023-07-27,2,0,0,0,0
2023-07-28,1,0,0,0,0
2023-07-29,3,0,0,0,0
2023-07-31,3,0,0,0,0
2023-08-01,3,0,0,0,0
2023-08-02,1,0,0,0,0
2023-08-03,0,0,0,0,0
2023-08-04,2,0,0,0,0
2023-08-05,3,0,0,0,0
2023-08-06,6,0,0,0,0
2023-08-07,2,0,0,0,0
2023-08-08,6,0,0,0,0
2023-08-10,5,0,0,1,0
2023-08-11,3,0,0,0,0
2023-08-12,1,0,0,0,0
2023-08-13,7,0,0,0,0
2023-08-14,5,0,0,0,0
2023-08-15,1,0,0,0,0
2023-08-16,3,0,0,0,0
2023-08-17,4,0,0,0,0
2023-08-18,4,0,0,1,0
2023-08-19,6,0,0,0,0
2023-08-20,6,0,0,0,0
2023-08-21,4,0,0,0,0
2023-08-22,5,0,0,2,0
2023-08-23,1,0,0,2,0
2023-08-24,2,0,0,0,0
2023-08-25,5,0,0,0,0
2023-08-26,3,0,0,0,0
2023-08-27,3,0,0,1,0
2023-08-28,1,0,0,0,0
2023-08-29,2,0,0,1,0
2023-08-30,1,0,0,0,0
2023-08-31,2,0,0,0,0
2023-09-01,5,0,0,0,0
2023-09-02,8,0,0,0,0
2023-09-03,3,0,0,0,0
2023-09-04,4,0,0,1,0
2023-09-06,1,0,0,4,0
2023-09-07,1,0,0,1,0
2023-09-08,1,1,0,0,0
2023-09-10,1,0,0,0,0
2023-09-11,0,0,0,4,0
2023-09-12,0,0,0,2,0
2023-09-13,4,0,0,0,0
2023-09-14,4,0,0,4,0
2023-09-15,6,0,0,0,0
2023-09-16,19,0,0,0,0
2023-09-17,5,0,0,0,0
2023-09-18,3,0,0,2,0
2023-09-19,1,1,0,0,0
2023-09-20,3,0,0,1,0
2023-09-21,14,0,0,1,0
2023-09-22,5,0,0,1,0
2023-09-23,2,1,1,0,0
2023-09-24,6,0,0,0,0
2023-09-25,6,2,1,4,0
2023-09-26,1,0,0,7,0
2023-09-27,0,0,0,2,0
2023-09-28,2,0,0,2,0
2023-09-29,2,0,0,0,0
2023-09-30,1,0,0,0,0
2023-10-01,12,0,0,0,0
2023-10-02,4,0,0,0,0
2023-10-04,1,0,0,0,0
2023-10-05,8,0,0,0,0
2023-10-06,2,0,0,1,0
2023-10-07,2,0,0,1,0
2023-10-08,23,0,0,1,0
2023-10-09,3,0,0,3,0
2023-10-10,1,0,0,2,0
2023-10-11,5,0,0,0,0
2023-10-12,3,0,0,2,0
2023-10-13,0,0,0,1,0
2023-10-14,1,0,0,0,0
2023-10-16,0,0,0,2,0
2023-10-17,1,0,0,1,0
2023-10-18,1,0,0,4,0
2023-10-19,5,0,0,1,0
2023-10-20,6,0,0,1,0
2023-10-21,2,0,0,0,0
2023-10-22,3,0,0,0,0
2023-10-23,1,0,0,0,0
2023-10-24,1,0,0,0,0
2023-10-25,3,0,0,0,0
2023-10-26,7,0,0,1,0
2023-10-27,1,0,0,0,0
2023-10-28,4,0,0,0,0
