,summary,Bundesliga,Freiburg,Deutschland,Luxemburg,Qatar,word
summaryOfAllWords,29975.410920884704,9508.286419202064,9067.831099445262,9009.269211531244,2100.5289302913093,289.49526041213494,
Mehr,4.77827141429642,-0.22162968693276303,-0.02099087123659401,-0.015819228305392088,0.7517984000523672,-0.6241371686065061,Mehr
Ertrag,3.6811833850814284,-0.6826270006472441,-0.1414694605545752,-0.1373479476721545,1.4818914644370247,-0.3632925888355197,Ertrag
mehr ertrag,3.6811833850814284,-0.6826270006472441,-0.1414694605545752,-0.1373479476721545,1.4818914644370247,-0.3632925888355197,mehr ertrag
2021,3.728426174411615,0.15190198045899403,-0.3611486833996423,-0.3579016929260284,1.0645677083614613,-0.3760445237750203,2021
ertrag 2021,2.941762163031791,-0.45840150510452293,-0.12417125291742048,-0.12092426244380672,1.301545138843683,-0.13906709329279862,ertrag 2021
Weinernte,4.487821706194657,-0.8807601687741562,-0.1399107231242408,-0.1351648922076516,1.5718564717662178,-0.5614257569624317,Weinernte
2021 weinernte,2.9852862807488965,-0.4730883768209898,-0.1252281321015429,-0.12191504058918652,1.3153994510946894,-0.1537539650092654,2021 weinernte
Deutschland,10.721770182090218,-1.500710295528506,-0.29324848528270625,-0.2873342855866484,1.915534994340374,-1.4323345872515894,Deutschland
weinernte deutschland,3.1048288871393543,-0.5123513331817057,-0.12744511045287846,-0.12395884437134413,1.3495183776685957,-0.19301692136998125,weinernte deutschland
fällt,6.777572209916465,-1.2930116848192938,-0.5995031441994001,-0.5948888975968832,2.1089713244143646,-0.9736772730075695,fällt
deutschland fall,4.739091532147469,-0.9352381855799943,-0.5013191545038989,-0.49761770948169315,1.9736314850923282,-0.61590377376827,deutschland fall
besser,9.497465102112805,-1.63041765977074,-0.21969931386230404,-0.21382908989608201,1.859095938240045,-1.3110832479590158,besser
fall gut,4.137167844593969,-0.799404186355029,-0.33161426874096167,-0.3277729057822819,1.7852509134139343,-0.4800697745433044,fall gut
erwartet,12.006947341003862,-1.5444976634901149,-0.05589779192238264,-0.0497441322586324,1.6315532585702943,-1.5455437436624933,erwartet
gut erwart,4.457838715337434,-0.8740567837317944,-0.2536224270166059,-0.249230568760446,1.7245080566185853,-0.5547223719200699,gut erwart
